Date,Open,High,Low,Close
1991-07-02,138.75,138.75,138.75,138.75
1991-07-03,139.49,139.49,139.49,139.49
1991-07-04,139.1,139.1,139.1,139.1
1991-07-05,138.35,138.35,138.35,138.35
1991-07-08,138.74,138.74,138.74,138.74
1991-07-09,138.6,138.6,138.6,138.6
1991-07-10,138.54,138.54,138.54,138.54
1991-07-11,138.55,138.55,138.55,138.55
1991-07-12,136.8,136.8,136.8,136.8
1991-07-15,136.6,136.6,136.6,136.6
1991-07-16,137.15,137.15,137.15,137.15
1991-07-17,136.76,136.76,136.76,136.76
1991-07-18,136.8,136.8,136.8,136.8
1991-07-19,136.45,136.45,136.45,136.45
1991-07-22,137.4,137.4,137.4,137.4
1991-07-23,136.95,136.95,136.95,136.95
1991-07-24,137.34,137.34,137.34,137.34
1991-07-25,138.86,138.86,138.86,138.86
1991-07-26,137.8,137.8,137.8,137.8
1991-07-29,138.15,138.15,138.15,138.15
1991-07-30,137.81,137.81,137.81,137.81
1991-07-31,137.4,137.4,137.4,137.4
1991-08-01,137.65,137.65,137.65,137.65
1991-08-02,136.74,136.74,136.74,136.74
1991-08-05,136.68,136.68,136.68,136.68
1991-08-06,135.66,135.66,135.66,135.66
1991-08-07,135.79,135.79,135.79,135.79
1991-08-08,136.55,136.55,136.55,136.55
1991-08-09,136.79,136.79,136.79,136.79
1991-08-12,136.49,136.49,136.49,136.49
1991-08-13,136.49,136.49,136.49,136.49
1991-08-14,136.56,136.56,136.56,136.56
1991-08-15,136.41,136.41,136.41,136.41
1991-08-16,137.24,137.24,137.24,137.24
1991-08-19,138.19,138.19,138.19,138.19
1991-08-20,137.4,137.4,137.4,137.4
1991-08-21,136.75,136.75,136.75,136.75
1991-08-22,136.4,136.4,136.4,136.4
1991-08-23,137.1,137.1,137.1,137.1
1991-08-26,136.95,136.95,136.95,136.95
1991-08-27,136.99,136.99,136.99,136.99
1991-08-28,136.6,136.6,136.6,136.6
1991-08-29,137,137,137,137
1991-08-30,136.85,136.85,136.85,136.85
1991-09-03,135.94,135.94,135.94,135.94
1991-09-04,135.41,135.41,135.41,135.41
1991-09-05,135.8,135.8,135.8,135.8
1991-09-06,136.15,136.15,136.15,136.15
1991-09-09,134.9,134.9,134.9,134.9
1991-09-10,134.79,134.79,134.79,134.79
1991-09-11,134.89,134.89,134.89,134.89
1991-09-12,134.01,134.01,134.01,134.01
1991-09-13,133.9,133.9,133.9,133.9
1991-09-16,133.55,133.55,133.55,133.55
1991-09-17,133.79,133.79,133.79,133.79
1991-09-18,134.14,134.14,134.14,134.14
1991-09-19,134.45,134.45,134.45,134.45
1991-09-20,134.49,134.49,134.49,134.49
1991-09-23,133.06,133.06,133.06,133.06
1991-09-24,133,133,133,133
1991-09-25,133.31,133.31,133.31,133.31
1991-09-26,133.65,133.65,133.65,133.65
1991-09-27,133.34,133.34,133.34,133.34
1991-09-30,132.85,132.85,132.85,132.85
1991-10-01,133.25,133.25,133.25,133.25
1991-10-02,132.59,132.59,132.59,132.59
1991-10-03,130.8,130.8,130.8,130.8
1991-10-04,129.95,129.95,129.95,129.95
1991-10-07,129.31,129.31,129.31,129.31
1991-10-08,130.1,130.1,130.1,130.1
1991-10-09,130.15,130.15,130.15,130.15
1991-10-10,130.3,130.3,130.3,130.3
1991-10-11,129.75,129.75,129.75,129.75
1991-10-15,130.21,130.21,130.21,130.21
1991-10-16,129.95,129.95,129.95,129.95
1991-10-17,129.8,129.8,129.8,129.8
1991-10-18,129.76,129.76,129.76,129.76
1991-10-21,130.7,130.7,130.7,130.7
1991-10-22,131.16,131.16,131.16,131.16
1991-10-23,131.59,131.59,131.59,131.59
1991-10-24,131.09,131.09,131.09,131.09
1991-10-25,131.4,131.4,131.4,131.4
1991-10-28,132.14,132.14,132.14,132.14
1991-10-29,130.66,130.66,130.66,130.66
1991-10-30,131,131,131,131
1991-10-31,130.56,130.56,130.56,130.56
1991-11-01,130.29,130.29,130.29,130.29
1991-11-04,128.86,128.86,128.86,128.86
1991-11-05,129.8,129.8,129.8,129.8
1991-11-06,129.84,129.84,129.84,129.84
1991-11-07,129.7,129.7,129.7,129.7
1991-11-08,130.31,130.31,130.31,130.31
1991-11-12,129.6,129.6,129.6,129.6
1991-11-13,130.06,130.06,130.06,130.06
1991-11-14,129.85,129.85,129.85,129.85
1991-11-15,130.11,130.11,130.11,130.11
1991-11-18,129.41,129.41,129.41,129.41
1991-11-19,129.8,129.8,129.8,129.8
1991-11-20,129.75,129.75,129.75,129.75
1991-11-21,129.6,129.6,129.6,129.6
1991-11-22,129.5,129.5,129.5,129.5
1991-11-25,127.75,127.75,127.75,127.75
1991-11-26,128.15,128.15,128.15,128.15
1991-11-27,130.26,130.26,130.26,130.26
1991-11-28,129.84,129.84,129.84,129.84
1991-11-29,130.05,130.05,130.05,130.05
1991-12-02,129.95,129.95,129.95,129.95
1991-12-03,129.45,129.45,129.45,129.45
1991-12-04,129.5,129.5,129.5,129.5
1991-12-05,128.7,128.7,128.7,128.7
1991-12-06,128.05,128.05,128.05,128.05
1991-12-09,128.4,128.4,128.4,128.4
1991-12-10,128.65,128.65,128.65,128.65
1991-12-11,129.2,129.2,129.2,129.2
1991-12-12,129.2,129.2,129.2,129.2
1991-12-13,128.81,128.81,128.81,128.81
1991-12-16,128.44,128.44,128.44,128.44
1991-12-17,128.54,128.54,128.54,128.54
1991-12-18,128.4,128.4,128.4,128.4
1991-12-19,128.3,128.3,128.3,128.3
1991-12-20,127.55,127.55,127.55,127.55
1991-12-23,126.5,126.5,126.5,126.5
1991-12-24,127.55,127.55,127.55,127.55
1991-12-26,126.78,126.78,126.78,126.78
1991-12-27,125.5,125.5,125.5,125.5
1991-12-30,125.7,125.7,125.7,125.7
1991-12-31,124.85,124.85,124.85,124.85
1992-01-02,124.51,124.51,124.51,124.51
1992-01-03,124.85,124.85,124.85,124.85
1992-01-06,124.05,124.05,124.05,124.05
1992-01-07,124.45,124.45,124.45,124.45
1992-01-08,124.89,124.89,124.89,124.89
1992-01-09,125.45,125.45,125.45,125.45
1992-01-10,127.15,127.15,127.15,127.15
1992-01-13,126.81,126.81,126.81,126.81
1992-01-14,126.85,126.85,126.85,126.85
1992-01-15,128.45,128.45,128.45,128.45
1992-01-16,128.25,128.25,128.25,128.25
1992-01-17,127.4,127.4,127.4,127.4
1992-01-20,123.65,123.65,123.65,123.65
1992-01-21,123.15,123.15,123.15,123.15
1992-01-22,123.2,123.2,123.2,123.2
1992-01-23,123.85,123.85,123.85,123.85
1992-01-24,123.4,123.4,123.4,123.4
1992-01-27,125.4,125.4,125.4,125.4
1992-01-28,125.56,125.56,125.56,125.56
1992-01-29,125.4,125.4,125.4,125.4
1992-01-30,126,126,126,126
1992-01-31,125.59,125.59,125.59,125.59
1992-02-03,125.95,125.95,125.95,125.95
1992-02-04,126.11,126.11,126.11,126.11
1992-02-05,125.74,125.74,125.74,125.74
1992-02-06,125.7,125.7,125.7,125.7
1992-02-07,125.15,125.15,125.15,125.15
1992-02-10,126.66,126.66,126.66,126.66
1992-02-11,126.84,126.84,126.84,126.84
1992-02-12,127.55,127.55,127.55,127.55
1992-02-13,127.75,127.75,127.75,127.75
1992-02-14,127.9,127.9,127.9,127.9
1992-02-17,126.95,126.95,126.95,126.95
1992-02-18,128.01,128.01,128.01,128.01
1992-02-19,128.35,128.35,128.35,128.35
1992-02-20,128.54,128.54,128.54,128.54
1992-02-21,128.7,128.7,128.7,128.7
1992-02-24,129.1,129.1,129.1,129.1
1992-02-25,129.45,129.45,129.45,129.45
1992-02-26,129.65,129.65,129.65,129.65
1992-02-27,129.4,129.4,129.4,129.4
1992-02-28,129.2,129.2,129.2,129.2
1992-03-02,129.6,129.6,129.6,129.6
1992-03-03,130.8,130.8,130.8,130.8
1992-03-04,132.1,132.1,132.1,132.1
1992-03-05,131.85,131.85,131.85,131.85
1992-03-06,131.75,131.75,131.75,131.75
1992-03-09,131.94,131.94,131.94,131.94
1992-03-10,132.85,132.85,132.85,132.85
1992-03-11,133.55,133.55,133.55,133.55
1992-03-12,134.21,134.21,134.21,134.21
1992-03-13,133.56,133.56,133.56,133.56
1992-03-16,133.9,133.9,133.9,133.9
1992-03-17,133.45,133.45,133.45,133.45
1992-03-18,132.09,132.09,132.09,132.09
1992-03-19,133.2,133.2,133.2,133.2
1992-03-20,134.01,134.01,134.01,134.01
1992-03-23,133.7,133.7,133.7,133.7
1992-03-24,133.7,133.7,133.7,133.7
1992-03-25,133.36,133.36,133.36,133.36
1992-03-26,133.95,133.95,133.95,133.95
1992-03-27,133.1,133.1,133.1,133.1
1992-03-30,133.04,133.04,133.04,133.04
1992-03-31,132.9,132.9,132.9,132.9
1992-04-01,134.5,134.5,134.5,134.5
1992-04-02,133.86,133.86,133.86,133.86
1992-04-03,133.25,133.25,133.25,133.25
1992-04-06,132.71,132.71,132.71,132.71
1992-04-07,133.26,133.26,133.26,133.26
1992-04-08,132.49,132.49,132.49,132.49
1992-04-09,132.25,132.25,132.25,132.25
1992-04-10,132.85,132.85,132.85,132.85
1992-04-13,133.25,133.25,133.25,133.25
1992-04-14,132.7,132.7,132.7,132.7
1992-04-15,133.41,133.41,133.41,133.41
1992-04-16,133.85,133.85,133.85,133.85
1992-04-17,134.01,134.01,134.01,134.01
1992-04-20,134.4,134.4,134.4,134.4
1992-04-21,134.21,134.21,134.21,134.21
1992-04-22,134.14,134.14,134.14,134.14
1992-04-23,134.44,134.44,134.44,134.44
1992-04-24,134.55,134.55,134.55,134.55
1992-04-27,133.1,133.1,133.1,133.1
1992-04-28,133.3,133.3,133.3,133.3
1992-04-29,133.4,133.4,133.4,133.4
1992-04-30,133.4,133.4,133.4,133.4
1992-05-01,132.7,132.7,132.7,132.7
1992-05-04,132.65,132.65,132.65,132.65
1992-05-05,133.1,133.1,133.1,133.1
1992-05-06,132.39,132.39,132.39,132.39
1992-05-07,132.7,132.7,132.7,132.7
1992-05-08,133.36,133.36,133.36,133.36
1992-05-11,133.15,133.15,133.15,133.15
1992-05-12,130.46,130.46,130.46,130.46
1992-05-13,130.3,130.3,130.3,130.3
1992-05-14,130.35,130.35,130.35,130.35
1992-05-15,130.2,130.2,130.2,130.2
1992-05-18,128.79,128.79,128.79,128.79
1992-05-19,129.1,129.1,129.1,129.1
1992-05-20,129.59,129.59,129.59,129.59
1992-05-21,130.25,130.25,130.25,130.25
1992-05-22,129.4,129.4,129.4,129.4
1992-05-25,129.3,129.3,129.3,129.3
1992-05-26,129.35,129.35,129.35,129.35
1992-05-27,129.95,129.95,129.95,129.95
1992-05-28,129.55,129.55,129.55,129.55
1992-05-29,127.7,127.7,127.7,127.7
1992-06-01,127.4,127.4,127.4,127.4
1992-06-02,127.51,127.51,127.51,127.51
1992-06-03,127.76,127.76,127.76,127.76
1992-06-04,127.5,127.5,127.5,127.5
1992-06-05,126.75,126.75,126.75,126.75
1992-06-08,127.05,127.05,127.05,127.05
1992-06-09,127.55,127.55,127.55,127.55
1992-06-10,127.54,127.54,127.54,127.54
1992-06-11,126.65,126.65,126.65,126.65
1992-06-12,126.65,126.65,126.65,126.65
1992-06-15,126.76,126.76,126.76,126.76
1992-06-16,126.76,126.76,126.76,126.76
1992-06-17,127,127,127,127
1992-06-18,126.71,126.71,126.71,126.71
1992-06-19,126.9,126.9,126.9,126.9
1992-06-22,127.05,127.05,127.05,127.05
1992-06-23,127.15,127.15,127.15,127.15
1992-06-24,126.75,126.75,126.75,126.75
1992-06-25,125.45,125.45,125.45,125.45
1992-06-26,125.8,125.8,125.8,125.8
1992-06-29,125.15,125.15,125.15,125.15
1992-06-30,125.84,125.84,125.84,125.84
1992-07-01,124.91,124.91,124.91,124.91
1992-07-02,124.55,124.55,124.55,124.55
1992-07-03,124.71,124.71,124.71,124.71
1992-07-06,124.5,124.5,124.5,124.5
1992-07-07,124.4,124.4,124.4,124.4
1992-07-08,124.8,124.8,124.8,124.8
1992-07-09,125.7,125.7,125.7,125.7
1992-07-10,125.4,125.4,125.4,125.4
1992-07-13,124.95,124.95,124.95,124.95
1992-07-14,125,125,125,125
1992-07-15,125,125,125,125
1992-07-16,125.35,125.35,125.35,125.35
1992-07-17,124.6,124.6,124.6,124.6
1992-07-20,125.25,125.25,125.25,125.25
1992-07-21,125.35,125.35,125.35,125.35
1992-07-22,126.9,126.9,126.9,126.9
1992-07-23,126.6,126.6,126.6,126.6
1992-07-24,127.61,127.61,127.61,127.61
1992-07-27,127.7,127.7,127.7,127.7
1992-07-28,127.6,127.6,127.6,127.6
1992-07-29,127.9,127.9,127.9,127.9
1992-07-30,127.6,127.6,127.6,127.6
1992-07-31,127.35,127.35,127.35,127.35
1992-08-03,127.27,127.27,127.27,127.27
1992-08-04,127.26,127.26,127.26,127.26
1992-08-05,127.31,127.31,127.31,127.31
1992-08-06,127.7,127.7,127.7,127.7
1992-08-07,127.49,127.49,127.49,127.49
1992-08-10,128.05,128.05,128.05,128.05
1992-08-11,128,128,128,128
1992-08-12,127.75,127.75,127.75,127.75
1992-08-13,127.1,127.1,127.1,127.1
1992-08-14,126.25,126.25,126.25,126.25
1992-08-17,125.71,125.71,125.71,125.71
1992-08-18,126.25,126.25,126.25,126.25
1992-08-19,126.25,126.25,126.25,126.25
1992-08-20,126.26,126.26,126.26,126.26
1992-08-21,126.05,126.05,126.05,126.05
1992-08-24,124.6,124.6,124.6,124.6
1992-08-25,124.85,124.85,124.85,124.85
1992-08-26,124.9,124.9,124.9,124.9
1992-08-27,124.85,124.85,124.85,124.85
1992-08-28,123.25,123.25,123.25,123.25
1992-08-31,122.95,122.95,122.95,122.95
1992-09-01,122.85,122.85,122.85,122.85
1992-09-02,122.95,122.95,122.95,122.95
1992-09-03,123.94,123.94,123.94,123.94
1992-09-04,123.15,123.15,123.15,123.15
1992-09-08,122.65,122.65,122.65,122.65
1992-09-09,123.25,123.25,123.25,123.25
1992-09-10,123,123,123,123
1992-09-11,124.19,124.19,124.19,124.19
1992-09-14,124.2,124.2,124.2,124.2
1992-09-15,124.3,124.3,124.3,124.3
1992-09-16,124.9,124.9,124.9,124.9
1992-09-17,124.4,124.4,124.4,124.4
1992-09-18,124.65,124.65,124.65,124.65
1992-09-21,123.7,123.7,123.7,123.7
1992-09-22,121.18,121.18,121.18,121.18
1992-09-23,120.1,120.1,120.1,120.1
1992-09-24,120.64,120.64,120.64,120.64
1992-09-25,120.39,120.39,120.39,120.39
1992-09-28,119.51,119.51,119.51,119.51
1992-09-29,119.63,119.63,119.63,119.63
1992-09-30,120,120,120,120
1992-10-01,119.91,119.91,119.91,119.91
1992-10-02,119.36,119.36,119.36,119.36
1992-10-05,119.56,119.56,119.56,119.56
1992-10-06,119.8,119.8,119.8,119.8
1992-10-07,120.04,120.04,120.04,120.04
1992-10-08,120.95,120.95,120.95,120.95
1992-10-09,121.86,121.86,121.86,121.86
1992-10-13,121.32,121.32,121.32,121.32
1992-10-14,120.96,120.96,120.96,120.96
1992-10-15,120.26,120.26,120.26,120.26
1992-10-16,119.75,119.75,119.75,119.75
1992-10-19,119.71,119.71,119.71,119.71
1992-10-20,121.84,121.84,121.84,121.84
1992-10-21,121.71,121.71,121.71,121.71
1992-10-22,120.84,120.84,120.84,120.84
1992-10-23,122,122,122,122
1992-10-26,121.97,121.97,121.97,121.97
1992-10-27,122.36,122.36,122.36,122.36
1992-10-28,122.49,122.49,122.49,122.49
1992-10-29,123.35,123.35,123.35,123.35
1992-10-30,123.26,123.26,123.26,123.26
1992-11-02,124.02,124.02,124.02,124.02
1992-11-03,122.21,122.21,122.21,122.21
1992-11-04,122.71,122.71,122.71,122.71
1992-11-05,122.69,122.69,122.69,122.69
1992-11-06,123.15,123.15,123.15,123.15
1992-11-09,123.8,123.8,123.8,123.8
1992-11-10,124.45,124.45,124.45,124.45
1992-11-12,124.08,124.08,124.08,124.08
1992-11-13,123.87,123.87,123.87,123.87
1992-11-16,124.76,124.76,124.76,124.76
1992-11-17,124.49,124.49,124.49,124.49
1992-11-18,124.42,124.42,124.42,124.42
1992-11-19,123.44,123.44,123.44,123.44
1992-11-20,124.19,124.19,124.19,124.19
1992-11-23,124.04,124.04,124.04,124.04
1992-11-24,124.15,124.15,124.15,124.15
1992-11-25,123.84,123.84,123.84,123.84
1992-11-26,124.13,124.13,124.13,124.13
1992-11-27,124.39,124.39,124.39,124.39
1992-11-30,124.35,124.35,124.35,124.35
1992-12-01,124.39,124.39,124.39,124.39
1992-12-02,124.39,124.39,124.39,124.39
1992-12-03,124.7,124.7,124.7,124.7
1992-12-04,124.92,124.92,124.92,124.92
1992-12-07,124.48,124.48,124.48,124.48
1992-12-08,123.89,123.89,123.89,123.89
1992-12-09,124.06,124.06,124.06,124.06
1992-12-10,123.48,123.48,123.48,123.48
1992-12-11,123.81,123.81,123.81,123.81
1992-12-14,123.6,123.6,123.6,123.6
1992-12-15,124.1,124.1,124.1,124.1
1992-12-16,122.92,122.92,122.92,122.92
1992-12-17,123.11,123.11,123.11,123.11
1992-12-18,123.23,123.23,123.23,123.23
1992-12-21,123.06,123.06,123.06,123.06
1992-12-22,123.52,123.52,123.52,123.52
1992-12-23,123.78,123.78,123.78,123.78
1992-12-24,123.89,123.89,123.89,123.89
1992-12-28,124.74,124.74,124.74,124.74
1992-12-29,124.72,124.72,124.72,124.72
1992-12-30,124.59,124.59,124.59,124.59
1992-12-31,124.74,124.74,124.74,124.74
1993-01-04,125.42,125.42,125.42,125.42
1993-01-05,125.03,125.03,125.03,125.03
1993-01-06,125.05,125.05,125.05,125.05
1993-01-07,125.17,125.17,125.17,125.17
1993-01-08,125.3,125.3,125.3,125.3
1993-01-11,125.04,125.04,125.04,125.04
1993-01-12,125.27,125.27,125.27,125.27
1993-01-13,126.04,126.04,126.04,126.04
1993-01-14,125.68,125.68,125.68,125.68
1993-01-15,126.08,126.08,126.08,126.08
1993-01-18,125.77,125.77,125.77,125.77
1993-01-19,125.55,125.55,125.55,125.55
1993-01-20,124.99,124.99,124.99,124.99
1993-01-21,125.05,125.05,125.05,125.05
1993-01-22,124.83,124.83,124.83,124.83
1993-01-25,123.29,123.29,123.29,123.29
1993-01-26,123.61,123.61,123.61,123.61
1993-01-27,124,124,124,124
1993-01-28,124.1,124.1,124.1,124.1
1993-01-29,124.76,124.76,124.76,124.76
1993-02-01,124.99,124.99,124.99,124.99
1993-02-02,124.86,124.86,124.86,124.86
1993-02-03,124.28,124.28,124.28,124.28
1993-02-04,124.55,124.55,124.55,124.55
1993-02-05,124.37,124.37,124.37,124.37
1993-02-08,123.93,123.93,123.93,123.93
1993-02-09,121.33,121.33,121.33,121.33
1993-02-10,120.89,120.89,120.89,120.89
1993-02-11,120.33,120.33,120.33,120.33
1993-02-12,120.81,120.81,120.81,120.81
1993-02-15,120.88,120.88,120.88,120.88
1993-02-16,119.66,119.66,119.66,119.66
1993-02-17,119.34,119.34,119.34,119.34
1993-02-18,119.6,119.6,119.6,119.6
1993-02-19,119.13,119.13,119.13,119.13
1993-02-22,116.3,116.3,116.3,116.3
1993-02-23,116.61,116.61,116.61,116.61
1993-02-24,116.87,116.87,116.87,116.87
1993-02-25,117.49,117.49,117.49,117.49
1993-02-26,118.01,118.01,118.01,118.01
1993-03-01,118.55,118.55,118.55,118.55
1993-03-02,117.72,117.72,117.72,117.72
1993-03-03,117.06,117.06,117.06,117.06
1993-03-04,116.76,116.76,116.76,116.76
1993-03-05,117.68,117.68,117.68,117.68
1993-03-08,116.52,116.52,116.52,116.52
1993-03-09,117.34,117.34,117.34,117.34
1993-03-10,117.99,117.99,117.99,117.99
1993-03-11,117.53,117.53,117.53,117.53
1993-03-12,117.74,117.74,117.74,117.74
1993-03-15,118.48,118.48,118.48,118.48
1993-03-16,116.84,116.84,116.84,116.84
1993-03-17,117.19,117.19,117.19,117.19
1993-03-18,116.84,116.84,116.84,116.84
1993-03-19,115.98,115.98,115.98,115.98
1993-03-22,115.62,115.62,115.62,115.62
1993-03-23,115.65,115.65,115.65,115.65
1993-03-24,116.84,116.84,116.84,116.84
1993-03-25,117.35,117.35,117.35,117.35
1993-03-26,116.3,116.3,116.3,116.3
1993-03-29,116.8,116.8,116.8,116.8
1993-03-30,116.62,116.62,116.62,116.62
1993-03-31,114.92,114.92,114.92,114.92
1993-04-01,114.08,114.08,114.08,114.08
1993-04-02,114.22,114.22,114.22,114.22
1993-04-05,113.53,113.53,113.53,113.53
1993-04-06,113.95,113.95,113.95,113.95
1993-04-07,113.6,113.6,113.6,113.6
1993-04-08,113.54,113.54,113.54,113.54
1993-04-09,113.2,113.2,113.2,113.2
1993-04-12,112.72,112.72,112.72,112.72
1993-04-13,113.42,113.42,113.42,113.42
1993-04-14,113.89,113.89,113.89,113.89
1993-04-15,113.18,113.18,113.18,113.18
1993-04-16,112.59,112.59,112.59,112.59
1993-04-19,110.95,110.95,110.95,110.95
1993-04-20,110.73,110.73,110.73,110.73
1993-04-21,111.02,111.02,111.02,111.02
1993-04-22,110.02,110.02,110.02,110.02
1993-04-23,110.62,110.62,110.62,110.62
1993-04-26,110.35,110.35,110.35,110.35
1993-04-27,111.21,111.21,111.21,111.21
1993-04-28,112.38,112.38,112.38,112.38
1993-04-29,111.79,111.79,111.79,111.79
1993-04-30,111.21,111.21,111.21,111.21
1993-05-03,110.89,110.89,110.89,110.89
1993-05-04,110.16,110.16,110.16,110.16
1993-05-05,110.17,110.17,110.17,110.17
1993-05-06,110.2,110.2,110.2,110.2
1993-05-07,110.32,110.32,110.32,110.32
1993-05-10,111.74,111.74,111.74,111.74
1993-05-11,111.14,111.14,111.14,111.14
1993-05-12,111.59,111.59,111.59,111.59
1993-05-13,111.62,111.62,111.62,111.62
1993-05-14,110.86,110.86,110.86,110.86
1993-05-17,111.39,111.39,111.39,111.39
1993-05-18,111.54,111.54,111.54,111.54
1993-05-19,110.51,110.51,110.51,110.51
1993-05-20,110.49,110.49,110.49,110.49
